Brand,Model,Mileage,Transmission,Price,Year,Engine CC,Date Posted
Brilliance,H 530,"55,000 km",Automatic,"750,000 EGP",2022,1600,2026-06-27
Suzuki,Grand Vitara,30 km,Automatic,"1,350,000 EGP",2024,1500,2026-06-26
BMW,318i,"200,000 km",Automatic,"1,000,000 EGP",2017,1500,2026-06-26
Jeep,Grand Cherokee,"24,000 km",Automatic,"4,750,000 EGP",2022,3600,2026-06-26
BMW,X6,"103,000 km",Automatic,"2,850,000 EGP",2017,4400,2026-06-26
Seat,Ibiza,"250,000 km",Manual,"250,000 EGP",2000,1800,2026-06-26
Jeep,Grand Cherokee,"130,000 km",Automatic,"1,600,000 EGP",2015,3600,2026-06-26
Chery,Tiggo 8 Pro Max,10 km,Automatic,"1,590,000 EGP",2027,1500,2026-06-26
Opel,Grand Land,"20,000 km",Automatic,"1,615,000 EGP",2024,1600,2026-06-26
Kia,Sportage,"74,000 km",Automatic,"1,520,000 EGP",2021,1600,2026-06-26
Skoda,Fantasia,"220,000 km",Automatic,"640,000 EGP",2012,2000,2026-06-26
Geely,X 7,"144,000 km",Automatic,"600,000 EGP",2019,1300,2026-06-26
Kia,Cerato,"240,000 km",Automatic,"580,000 EGP",2010,1600,2026-06-26
Kia,Sportage,"13,500 km",Automatic,"1,450,000 EGP",2022,1600,2026-06-26
Audi,A5,"220,000 km",Automatic,"1,450,000 EGP",2019,1400,2026-06-26
Peugeot,408,"300,000 km",Automatic,"450,000 EGP",2012,1600,2026-06-26
MG,5,"19,000 km",Automatic,"950,000 EGP",2025,1500,2026-06-26
Mercedes,E230,"340,000 km",Automatic,"1,100,000 EGP",2008,2500,2026-06-26
Mercedes,C200,"68,000 km",Automatic,"2,850,000 EGP",2023,1600,2026-06-26
BMW,520i,"170,000 km",Automatic,"1,650,000 EGP",2018,1600,2026-06-26
Volkswagen,ID.4,"111,000 km",Automatic,"1,250,000 EGP",2022,600,2026-06-26
Nissan,Qashqai,"126,000 km",Automatic,"900,000 EGP",2019,1200,2026-06-26
Kia,Carnival,"10,000 km",Automatic,"1,500,000 EGP",2024,1600,2026-06-26
Peugeot,301,"375,000 km",Automatic,"420,000 EGP",2014,1600,2026-06-26
BMW,320i,"165,000 km",Automatic,"1,550,000 EGP",2018,2000,2026-06-26
BMW,525i,"281,095 km",Automatic,"659,000 EGP",2010,2500,2026-06-26
"630,000 EGP",Hyundai Elantra HD 2019,"275,000 km",Automatic,"630,000 EGP",2019,1600,2026-06-26
Hyundai,Elantra HD,"49,500 km",Automatic,"990,000 EGP",2025,1000,2026-06-26
Nissan,Juke,"270,000 km",Automatic,"975,000 EGP",2009,1600,2026-06-26
Mercedes,C180,"160,000 km",Automatic,"1,150,000 EGP",2017,1500,2026-06-26
BMW,318i,"260,000 km",Automatic,"450,000 EGP",2011,1600,2026-06-26
Renault,Fluence,208 km,Automatic,"970,000 EGP",2016,1600,2026-06-26
Kia,Sportage,"118,000 km",Automatic,"630,000 EGP",2022,1500,2026-06-26
Changan,CS15,"25,000 km",Automatic,"2,100,000 EGP",2022,1400,2026-06-26
Volkswagen,Passat,"10,000 km",Automatic,"2,130,000 EGP",2025,1600,2026-06-26
Kia,Sportage,"90,000 km",Automatic,"780,000 EGP",2021,1500,2026-06-26
MG,5,"3,600 km",Manual,"1,830,000 EGP",2026,3000,2026-06-26
Isuzu,RBC,"144,000 km",Manual,"310,000 EGP",2010,1600,2026-06-26
Hyundai,Verna,"20,000 km",Automatic,"3,620,000 EGP",2025,4000,2026-06-26
Toyota,Fortuner,"90,000 km",Automatic,"2,800,000 EGP",2022,2000,2026-06-26
Volkswagen,Touareg,"113,000 km",Automatic,"840,000 EGP",2018,1200,2026-06-26
Nissan,Qashqai,"300,000 km",Automatic,"3,000,000 EGP",2008,5500,2026-06-26
Mercedes,S500,"224,000 km",Automatic,"1,300,000 EGP",2012,1800,2026-06-26
Mercedes,C 250,"290,000 km",Automatic,"360,000 EGP",2006,1600,2026-06-26
Hyundai,Accent,"59,640 km",Automatic,"690,000 EGP",2021,1500,2026-06-26
MG,5,"20,000 km",Automatic,"6,750,000 EGP",2023,4400,2026-06-26
BMW,X6,"110,000 km",Automatic,"1,900,000 EGP",2021,1300,2026-06-25
Mercedes,CLA 200,"60,000 km",Automatic,"3,400,000 EGP",2020,2000,2026-06-25
Mercedes,E300,"106,000 km",Automatic,"1,350,000 EGP",2022,1400,2026-06-25
Audi,Q2,"60,000 km",Automatic,"1,700,000 EGP",2023,2000,2026-06-25
Mini,Cooper S,"6,100 km",Automatic,"1,300,000 EGP",2022,1200,2026-06-25
Peugeot,2008,"5,000 km",Automatic,"1,000,000 EGP",2026,1500,2026-06-25
GAC,EMZOOM,"71,000 km",Automatic,"820,000 EGP",2023,1600,2026-06-25
Nissan,Sentra,"32,500 km",Automatic,"920,000 EGP",2023,1500,2026-06-25
Chery,Tiggo 7,"155,000 km",Automatic,"700,000 EGP",2016,1600,2026-06-25
Peugeot,2008,"180,000 km",Automatic,"800,000 EGP",2020,1600,2026-06-25
Peugeot,3008,"355,000 km",Automatic,"670,000 EGP",2019,1600,2026-06-25
Fiat,Tipo,"113,000 km",Automatic,"1,700,000 EGP",2015,5700,2026-06-25
Jeep,Grand Cherokee,"10,800 km",Automatic,"8,700,000 EGP",2024,4000,2026-06-25
Mercedes,GLS 580,"80,000 km",Automatic,"720,000 EGP",2022,1500,2026-06-25
Nissan,Sunny,"33,500 km",Automatic,"1,100,000 EGP",2021,1600,2026-06-25
Seat,Ibiza,"187,000 km",Manual,"480,000 EGP",2022,1500,2026-06-25
Chery,Arrizo 5,"120,000 km",Automatic,"1,650,000 EGP",2022,1600,2026-06-25
Peugeot,5008,"55,000 km",Automatic,"750,000 EGP",2022,1600,2026-06-25
Brilliance,H 530,"60,000 km",Automatic,"1,100,000 EGP",2020,1600,2026-06-25
Toyota,Corolla,"196,500 km",Automatic,"285,000 EGP",2007,1800,2026-06-25
Opel,Astra,"12,800 km",Automatic,"10,500,000 EGP",2023,5000,2026-06-25
Mercedes,G 500,"35,500 km",Automatic,"936,000 EGP",2024,1600,2026-06-25
Nissan,Sentra,"121,000 km",Automatic,"4,100,000 EGP",2015,4600,2026-06-25
Toyota,Land cruiser,258 km,Manual,"400,000 EGP",2006,1600,2026-06-25
